user_id,name,gender,age,city,signup_date,plan_type,device_type,is_active,language_pref
71,Lakshit Madan,Male,59,Indore,2024-06-06,Premium,Laptop,True,Hindi
72,Riya Dugal,Female,49,Pune,2023-12-20,Standard,Smart TV,True,Marathi
73,Oorja Sachar,Male,25,Ahmedabad,2024-09-30,Basic,Laptop,True,Telugu
74,Advika Yogi,Male,51,Bangalore,2024-04-18,Premium,Smart TV,False,Telugu
75,Fateh Dasgupta,Male,29,Indore,2024-10-15,Premium,Smart TV,False,Hindi
76,Chirag Gara,Female,46,Indore,2023-02-05,Premium,Mobile,False,Telugu
77,Khushi Malhotra,Female,63,Delhi,2023-10-09,Basic,Laptop,False,Marathi
78,Khushi Choudhary,Female,30,Mumbai,2025-06-09,Basic,Smart TV,True,Hindi
79,Devansh Sathe,Other,23,Chennai,2022-10-11,Basic,Mobile,False,Marathi
80,Manikya Bandi,Female,29,Pune,2024-01-20,Basic,Tablet,True,Tamil
81,Shalv Banik,Male,38,Jaipur,2022-11-01,Standard,Tablet,True,English
82,Ranbir Sami,Female,55,Hyderabad,2024-04-18,Basic,Smart TV,False,Hindi
83,Lakshit Madan,Female,36,Bangalore,2024-02-28,Basic,Smart TV,True,Telugu
84,Samaira Wadhwa,Male,31,Jaipur,2024-01-13,Standard,Mobile,False,Telugu
85,Nirvaan Srinivasan,Other,60,Chennai,2023-08-14,Standard,Laptop,False,Telugu
86,Zara Jani,Female,33,Chennai,2023-12-01,Premium,Tablet,True,Hindi
87,Divit Bava,Other,62,Delhi,2022-12-26,Basic,Mobile,False,Marathi
88,Sumer Kakar,Other,39,Kolkata,2023-03-10,Premium,Mobile,False,English
89,Anahita Venkatesh,Other,41,Jaipur,2023-04-12,Premium,Tablet,True,Tamil
90,Pari Sachdeva,Male,40,Indore,2023-08-16,Premium,Tablet,True,Tamil
91,Biju Jaggi,Other,60,Delhi,2023-10-26,Basic,Mobile,True,Marathi
92,Yasmin Venkataraman,Other,56,Jaipur,2023-08-21,Standard,Laptop,False,Tamil
93,Nishith Char,Male,44,Kolkata,2022-10-28,Premium,Smart TV,True,Telugu
94,Heer Kapur,Other,30,Bangalore,2024-09-16,Premium,Smart TV,False,Bengali
95,Aarna Chand,Other,60,Bangalore,2025-01-13,Standard,Tablet,False,Telugu
96,Anahi Dash,Male,16,Kolkata,2025-02-18,Premium,Tablet,True,Marathi
97,Ahana  Swamy,Male,40,Hyderabad,2024-07-16,Basic,Tablet,True,Bengali
98,Badal Sachdev,Female,22,Chennai,2023-10-16,Premium,Tablet,True,Hindi
99,Divij Shetty,Female,24,Indore,2022-07-21,Standard,Smart TV,False,Bengali
100,Ivan Jani,Female,39,Kolkata,2023-02-22,Standard,Tablet,True,Hindi
101,Anya Chhabra,Other,16,Ahmedabad,2023-05-23,Basic,Tablet,True,Tamil
102,Biju Butala,Other,59,Mumbai,2023-05-23,Premium,Tablet,True,English
103,Aarav Hayer,Other,23,Chennai,2024-10-13,Basic,Smart TV,False,English
104,Vardaniya Srinivasan,Male,39,Delhi,2024-04-05,Standard,Laptop,True,Marathi
105,Reyansh Kakar,Other,26,Mumbai,2024-10-21,Premium,Laptop,False,Telugu
106,Indrans Chandran,Female,32,Chennai,2024-05-05,Basic,Mobile,False,Bengali
107,Madhav Balakrishnan,Male,23,Delhi,2022-08-09,Premium,Tablet,False,Telugu
108,Siya Dugar,Male,50,Chennai,2024-09-17,Premium,Tablet,True,Tamil
109,Badal Master,Male,50,Indore,2023-07-11,Basic,Laptop,False,Telugu
110,Damini Varkey,Female,48,Indore,2023-11-20,Standard,Tablet,False,Tamil
111,Bhavin Kumar,Female,20,Delhi,2024-07-13,Standard,Tablet,False,Tamil
112,Kabir Banerjee,Female,57,Jaipur,2022-09-17,Basic,Smart TV,False,Tamil
113,Pari Venkataraman,Male,54,Ahmedabad,2022-10-20,Basic,Smart TV,True,Telugu
114,Yuvaan Bhasin,Male,56,Kolkata,2024-06-16,Premium,Smart TV,False,Hindi
115,Kavya Rajan,Other,43,Pune,2022-08-13,Basic,Tablet,True,Telugu
116,Miraya Baria,Other,22,Kolkata,2023-07-29,Basic,Laptop,False,Bengali
117,Nirvi Manne,Female,24,Ahmedabad,2024-04-08,Premium,Tablet,True,English
118,Pranay Chaudry,Male,23,Delhi,2023-05-11,Standard,Smart TV,True,Tamil
119,Nakul Deo,Other,27,Chennai,2022-09-22,Premium,Smart TV,True,English
120,Hansh Sampath,Female,49,Mumbai,2025-03-06,Premium,Tablet,True,Telugu
121,Amira Dugar,Female,48,Delhi,2023-10-20,Standard,Tablet,True,Hindi
122,Aayush Karnik,Other,63,Jaipur,2023-09-02,Premium,Tablet,False,Tamil
123,Devansh Luthra,Female,38,Bangalore,2023-03-10,Basic,Laptop,False,English
124,Dishani Deo,Male,39,Bangalore,2023-06-08,Premium,Tablet,True,English
125,Stuvan Wadhwa,Female,52,Indore,2024-09-17,Premium,Mobile,False,Bengali
126,Nirvaan Goyal,Male,50,Mumbai,2025-04-07,Premium,Tablet,True,Bengali
127,Indranil Kanda,Male,59,Delhi,2024-04-12,Premium,Tablet,True,English
128,Manjari Swamy,Other,55,Indore,2022-10-16,Premium,Tablet,True,Marathi
129,Nitya Taneja,Other,37,Kolkata,2023-04-09,Premium,Mobile,False,Tamil
130,Nitara Ben,Other,42,Pune,2022-09-22,Standard,Mobile,True,Bengali
131,Prerak Bhardwaj,Female,50,Ahmedabad,2025-06-25,Standard,Laptop,False,Marathi
132,Shanaya Malhotra,Other,16,Jaipur,2023-12-12,Standard,Mobile,False,Bengali
133,Purab Dhaliwal,Other,50,Jaipur,2022-09-27,Basic,Mobile,False,Telugu
134,Saanvi Garg,Female,52,Ahmedabad,2024-10-30,Basic,Smart TV,True,Bengali
135,Piya Ravel,Other,62,Kolkata,2025-02-17,Basic,Tablet,False,Telugu
136,Dishani Konda,Female,29,Pune,2024-10-21,Standard,Tablet,False,Telugu
137,Baiju Batra,Female,18,Bangalore,2023-06-25,Premium,Tablet,True,Marathi
138,Raghav Bains,Male,16,Hyderabad,2022-08-30,Basic,Laptop,False,Hindi
139,Shamik Solanki,Male,20,Bangalore,2025-02-13,Standard,Laptop,False,Bengali
140,Navya Deep,Other,41,Delhi,2023-09-18,Premium,Tablet,False,Marathi
141,Seher Kant,Female,29,Ahmedabad,2022-10-29,Premium,Tablet,False,Marathi
142,Jhanvi Agrawal,Male,54,Kolkata,2023-06-09,Premium,Laptop,True,Marathi
143,Dhanuk Wagle,Male,42,Delhi,2023-09-05,Standard,Smart TV,False,Hindi
144,Inaaya  Badami,Male,24,Indore,2025-05-16,Basic,Mobile,True,Bengali
145,Keya Majumdar,Male,30,Chennai,2024-12-28,Basic,Tablet,False,Telugu
146,Adah Bhatt,Other,30,Mumbai,2022-08-01,Standard,Mobile,False,Tamil
147,Ryan Gopal,Male,41,Mumbai,2025-01-06,Standard,Smart TV,True,Bengali
148,Taimur Cheema,Other,57,Indore,2024-05-17,Basic,Laptop,False,Bengali
149,Nitya Behl,Female,28,Delhi,2025-03-31,Standard,Laptop,False,Hindi
150,Vanya Mammen,Other,47,Mumbai,2022-10-24,Basic,Mobile,False,Tamil
151,Miraya Shere,Male,54,Bangalore,2025-02-11,Standard,Laptop,True,Hindi
152,Miraan Venkatesh,Female,64,Jaipur,2024-07-21,Standard,Laptop,False,Tamil
153,Yasmin Tak,Female,47,Jaipur,2025-01-25,Premium,Laptop,False,Marathi
154,Zain Arora,Other,19,Indore,2024-08-05,Standard,Tablet,True,Hindi
155,Sara Ganesan,Female,45,Ahmedabad,2024-12-24,Basic,Smart TV,True,English
156,Zaina Sami,Other,52,Jaipur,2024-08-08,Standard,Mobile,False,Telugu
157,Priyansh Buch,Female,38,Kolkata,2023-02-08,Standard,Smart TV,False,English
158,Vaibhav Viswanathan,Other,54,Ahmedabad,2023-09-10,Standard,Laptop,False,Tamil
159,Anaya Choudhry,Male,60,Ahmedabad,2023-12-18,Basic,Smart TV,True,Bengali
160,Amira Gill,Other,30,Pune,2023-03-08,Basic,Mobile,True,Telugu
161,Yashvi Viswanathan,Other,58,Indore,2024-11-22,Standard,Tablet,False,Tamil
162,Mamooty Arora,Male,44,Kolkata,2023-09-04,Basic,Tablet,True,Tamil
163,Yakshit Gala,Other,51,Delhi,2022-12-31,Premium,Mobile,True,Hindi
164,Darshit Som,Other,28,Bangalore,2023-06-04,Premium,Mobile,False,English
165,Stuvan Rege,Female,47,Bangalore,2024-01-28,Standard,Mobile,True,Marathi
166,Parinaaz Upadhyay,Other,22,Mumbai,2024-03-09,Standard,Smart TV,True,Telugu
167,Aniruddh Bhardwaj,Female,37,Hyderabad,2025-02-14,Premium,Laptop,False,Hindi
168,Jayesh Mannan,Male,43,Delhi,2023-09-06,Premium,Tablet,True,Bengali
169,Armaan Bhagat,Female,17,Mumbai,2024-10-09,Basic,Tablet,True,English
170,Shray Sethi,Female,57,Hyderabad,2022-08-03,Standard,Tablet,False,Telugu
171,Adira Raman,Male,60,Mumbai,2023-10-21,Basic,Tablet,True,Bengali
172,Veer Yogi,Female,21,Hyderabad,2023-11-19,Premium,Smart TV,True,Hindi
173,Onkar Bains,Male,43,Jaipur,2022-09-17,Basic,Tablet,True,English
174,Aarav Lad,Other,43,Bangalore,2024-07-03,Premium,Tablet,True,English
175,Tejas Kale,Other,59,Hyderabad,2023-05-27,Basic,Smart TV,False,Marathi
176,Nitya Gandhi,Female,59,Indore,2024-01-14,Standard,Smart TV,True,Marathi
177,Nitara Vala,Other,35,Chennai,2024-02-20,Standard,Smart TV,True,Bengali
178,Saira Yogi,Male,45,Hyderabad,2025-06-21,Standard,Smart TV,False,English
179,Dishani Dubey,Other,26,Delhi,2024-08-16,Standard,Tablet,True,Hindi
180,Shaan Jaggi,Male,43,Kolkata,2023-10-21,Standard,Tablet,True,Bengali
181,Ishita Bhatt,Other,40,Jaipur,2024-09-12,Standard,Mobile,False,Marathi
182,Aaina Salvi,Female,54,Bangalore,2022-08-04,Premium,Smart TV,True,Marathi
183,Parinaaz Shere,Other,48,Jaipur,2024-12-20,Premium,Mobile,True,Tamil
184,Mannat Mane,Other,16,Indore,2023-11-26,Premium,Smart TV,True,Tamil
185,Yuvaan Mahal,Other,42,Mumbai,2024-08-26,Premium,Smart TV,True,English
186,Romil Dhar,Male,28,Delhi,2025-04-03,Basic,Laptop,False,Hindi
187,Adah Srivastava,Male,56,Bangalore,2025-04-01,Basic,Smart TV,False,Marathi
188,Anahita Kant,Female,18,Bangalore,2023-06-25,Premium,Mobile,True,English
189,Pari Chhabra,Male,54,Jaipur,2024-12-20,Basic,Smart TV,True,Hindi
190,Yashvi Yohannan,Other,21,Jaipur,2023-08-08,Standard,Mobile,False,English
191,Nirvi Basak,Other,23,Jaipur,2025-05-30,Basic,Tablet,False,Tamil
192,Drishya Saini,Male,42,Mumbai,2022-08-12,Premium,Laptop,False,Marathi
193,Divij Tank,Other,24,Jaipur,2023-12-19,Premium,Mobile,False,Tamil
194,Pari Dubey,Female,52,Ahmedabad,2025-01-06,Premium,Tablet,False,Tamil
195,Zara Chaudhary,Female,48,Hyderabad,2025-03-15,Premium,Smart TV,True,Telugu
196,Anay Bajaj,Male,57,Hyderabad,2024-11-12,Basic,Mobile,True,Bengali
197,Anika Ramaswamy,Male,59,Kolkata,2022-09-22,Standard,Laptop,False,Bengali
198,Amani Johal,Female,39,Ahmedabad,2023-02-17,Standard,Laptop,False,Bengali
199,Saanvi Sarin,Female,30,Indore,2025-04-30,Premium,Tablet,True,Hindi
200,Bhamini Iyengar,Male,47,Mumbai,2024-05-15,Basic,Laptop,False,Hindi
201,Hunar Sagar,Male,47,Pune,2022-07-15,Standard,Tablet,True,Telugu
202,Suhana Vasa,Male,39,Mumbai,2023-04-01,Premium,Laptop,True,English
203,Vanya Kala,Other,56,Delhi,2025-02-26,Premium,Mobile,True,Tamil
204,Jayesh Suri,Male,64,Indore,2023-08-07,Basic,Mobile,False,Telugu
205,Badal Mallick,Male,64,Indore,2023-09-06,Premium,Smart TV,False,Telugu
206,Gatik Kari,Other,27,Jaipur,2023-02-27,Premium,Laptop,False,Bengali
207,Zaina Kata,Female,54,Ahmedabad,2025-04-19,Standard,Mobile,False,Telugu
208,Tanya Walla,Male,17,Ahmedabad,2022-09-20,Basic,Tablet,False,English
209,Manjari Tandon,Other,18,Chennai,2023-07-11,Standard,Smart TV,True,English
210,Ira Kapoor,Male,64,Kolkata,2022-11-30,Premium,Laptop,False,Hindi
211,Shanaya Venkataraman,Male,52,Mumbai,2024-01-14,Premium,Mobile,False,Telugu
212,Alisha Dayal,Other,64,Jaipur,2024-10-15,Basic,Smart TV,True,Marathi
213,Navya Devi,Female,32,Indore,2025-01-31,Standard,Smart TV,False,English
214,Mishti Dar,Other,64,Jaipur,2023-02-16,Basic,Laptop,False,Telugu
215,Advika Barad,Male,17,Chennai,2023-12-11,Basic,Tablet,False,Tamil
216,Miraan Deshpande,Female,17,Ahmedabad,2024-09-29,Basic,Smart TV,True,Telugu
217,Samar Warrior,Other,43,Ahmedabad,2023-09-22,Basic,Smart TV,True,Bengali
218,Hiran Borra,Other,38,Jaipur,2025-02-16,Standard,Smart TV,True,English
219,Veer Saran,Female,52,Hyderabad,2022-08-10,Basic,Tablet,True,Telugu
220,Renee Chhabra,Male,47,Mumbai,2024-07-11,Premium,Laptop,False,Marathi
221,Zeeshan Jani,Other,48,Chennai,2023-05-07,Standard,Mobile,True,Hindi
222,Hrishita Kaul,Other,16,Mumbai,2023-11-10,Premium,Smart TV,True,Marathi
223,Biju Chauhan,Other,34,Indore,2023-03-09,Standard,Tablet,False,Marathi
224,Vidur Zachariah,Male,17,Ahmedabad,2022-09-15,Premium,Mobile,False,Tamil
225,Tarini Mani,Other,59,Pune,2023-07-02,Basic,Mobile,True,Hindi
226,Anvi Aggarwal,Female,41,Chennai,2022-12-10,Standard,Tablet,False,Hindi
227,Rohan Shetty,Female,47,Delhi,2024-12-05,Premium,Smart TV,False,Tamil
228,Aaina Luthra,Other,21,Kolkata,2024-05-27,Basic,Tablet,True,Hindi
229,Aradhya Choudhary,Other,47,Indore,2025-05-12,Basic,Laptop,False,English
230,Adira Kibe,Female,19,Jaipur,2024-06-27,Basic,Smart TV,True,Telugu
231,Vidur Ganguly,Female,26,Delhi,2024-07-14,Basic,Laptop,True,Telugu
232,Samaira Butala,Other,32,Jaipur,2023-09-30,Basic,Smart TV,False,Telugu
233,Gokul Rastogi,Female,53,Ahmedabad,2024-10-18,Premium,Mobile,False,Telugu
234,Vihaan Rajagopalan,Male,39,Pune,2024-05-22,Premium,Laptop,True,Telugu
235,Dharmajan Rout,Male,20,Jaipur,2024-06-28,Standard,Smart TV,False,Telugu
236,Himmat Verma,Male,49,Indore,2024-01-28,Premium,Laptop,False,Bengali
237,Jivin Bakshi,Male,21,Mumbai,2025-02-15,Standard,Laptop,False,Tamil
238,Vaibhav Gade,Female,37,Bangalore,2024-02-01,Premium,Smart TV,False,Bengali
239,Amani Gade,Male,26,Kolkata,2023-01-06,Basic,Tablet,False,Marathi
240,Tara Wable,Other,63,Hyderabad,2025-04-28,Premium,Mobile,True,Marathi
241,Ranbir Shetty,Other,31,Jaipur,2023-11-05,Basic,Tablet,False,Marathi
242,Ojas Tiwari,Male,48,Pune,2022-10-25,Premium,Smart TV,True,English
243,Anaya Andra,Other,24,Jaipur,2024-09-18,Basic,Laptop,True,Marathi
244,Stuvan Choudhury,Male,21,Hyderabad,2024-05-04,Basic,Mobile,True,English
245,Vanya Sachdev,Male,31,Chennai,2023-09-02,Premium,Laptop,False,Marathi
246,Tanya Aurora,Male,44,Hyderabad,2025-06-14,Basic,Smart TV,False,English
247,Krish Tripathi,Other,18,Ahmedabad,2024-10-02,Premium,Mobile,False,Tamil
248,Misha Bose,Other,35,Pune,2023-03-17,Premium,Laptop,False,Bengali
249,Gokul Khalsa,Male,51,Ahmedabad,2023-05-22,Basic,Laptop,False,Telugu
250,Jivika Chopra,Male,34,Jaipur,2022-07-19,Standard,Mobile,False,Telugu
251,Rati Dave,Male,41,Bangalore,2024-08-30,Basic,Laptop,False,English
252,Ivan Raman,Male,18,Kolkata,2024-10-01,Basic,Tablet,True,Telugu
253,Vanya Tank,Female,34,Indore,2023-01-30,Standard,Tablet,False,Hindi
254,Sahil Bhagat,Male,35,Indore,2025-02-09,Premium,Smart TV,False,Bengali
255,Sahil Mani,Other,47,Pune,2023-11-23,Standard,Smart TV,False,Telugu
256,Vivaan Sehgal,Male,22,Jaipur,2025-04-05,Basic,Laptop,True,Telugu
257,Dhanuk Rajagopalan,Female,56,Bangalore,2024-09-28,Basic,Tablet,True,Tamil
258,Ehsaan Sarin,Other,48,Ahmedabad,2024-03-20,Standard,Tablet,False,Tamil
259,Piya Rama,Female,55,Hyderabad,2025-06-29,Basic,Tablet,False,Telugu
260,Yashvi Mandal,Male,54,Kolkata,2024-09-19,Premium,Tablet,False,Bengali
261,Shray Lata,Other,33,Delhi,2023-09-16,Basic,Laptop,True,Hindi
262,Nitara Goyal,Male,55,Jaipur,2022-12-25,Basic,Smart TV,True,English
263,Dishani Sabharwal,Other,16,Bangalore,2024-12-16,Premium,Mobile,False,Hindi
264,Abram Vala,Other,26,Bangalore,2024-04-26,Premium,Tablet,True,Bengali
265,Ayesha Bera,Other,43,Hyderabad,2023-03-18,Standard,Mobile,True,Tamil
266,Taran Ravi,Female,40,Bangalore,2023-07-29,Standard,Tablet,True,Tamil
267,Rhea Bose,Male,38,Ahmedabad,2025-04-13,Standard,Mobile,True,Tamil
268,Jayesh Sha,Female,46,Jaipur,2023-06-20,Basic,Mobile,True,Marathi
269,Mannat Swamy,Female,45,Delhi,2023-04-01,Standard,Laptop,False,Hindi
270,Anahita Kamdar,Male,57,Indore,2024-05-10,Premium,Laptop,False,English
271,Samarth Varkey,Male,50,Jaipur,2022-08-31,Standard,Laptop,False,Bengali
272,Dhruv Dewan,Male,22,Kolkata,2025-04-07,Premium,Tablet,True,Marathi
273,Nirvaan Sheth,Other,31,Hyderabad,2024-01-25,Premium,Laptop,True,Bengali
274,Jiya Ramaswamy,Female,41,Hyderabad,2024-11-12,Premium,Mobile,False,Marathi
275,Shayak Atwal,Female,63,Chennai,2024-02-19,Basic,Mobile,False,Tamil
276,Shaan Chand,Female,64,Mumbai,2025-03-07,Basic,Mobile,True,Tamil
277,Lakshit Goel,Female,17,Mumbai,2023-09-21,Basic,Tablet,True,English
278,Shlok Dey,Female,16,Pune,2023-03-28,Basic,Smart TV,False,Bengali
279,Ivana Ahluwalia,Other,63,Kolkata,2024-06-26,Basic,Smart TV,True,Marathi
280,Dharmajan Dara,Male,27,Pune,2024-04-26,Basic,Tablet,True,Bengali
281,Ayesha Mall,Other,20,Bangalore,2024-07-29,Premium,Tablet,False,English
282,Prisha Khanna,Other,52,Bangalore,2023-10-11,Basic,Tablet,True,Telugu
283,Alia Sule,Other,47,Chennai,2024-09-23,Standard,Laptop,True,Bengali
284,Divij Din,Male,24,Mumbai,2023-06-04,Standard,Smart TV,True,Telugu
285,Yuvaan Saraf,Male,56,Delhi,2022-12-14,Basic,Laptop,True,Telugu
286,Ryan Saini,Female,50,Pune,2024-06-01,Premium,Tablet,True,Bengali
287,Anika Malhotra,Other,34,Indore,2023-05-08,Basic,Tablet,False,Tamil
288,Aarna Sharma,Female,63,Delhi,2025-07-05,Premium,Laptop,True,Hindi
289,Sumer Sarna,Male,31,Ahmedabad,2022-07-17,Premium,Smart TV,True,English
290,Purab Dua,Male,18,Hyderabad,2024-03-01,Basic,Smart TV,False,Marathi
291,Mehul Bhasin,Male,35,Delhi,2024-03-30,Basic,Smart TV,False,Telugu
292,Saksham Bhasin,Male,39,Chennai,2023-04-22,Premium,Mobile,True,Telugu
293,Kartik Chokshi,Other,48,Hyderabad,2025-01-16,Standard,Tablet,False,Telugu
294,Raghav Sengupta,Female,39,Jaipur,2023-06-10,Standard,Tablet,False,Tamil
295,Divyansh Thaman,Male,26,Kolkata,2025-04-29,Standard,Tablet,True,Bengali
296,Ritvik Comar,Female,64,Pune,2025-04-06,Premium,Smart TV,True,Bengali
297,Jayesh Dora,Male,23,Pune,2025-06-06,Premium,Smart TV,False,Telugu
298,Rhea Loke,Female,51,Mumbai,2022-11-25,Standard,Mobile,False,Bengali
299,Raghav Bajaj,Female,53,Chennai,2024-02-11,Standard,Laptop,True,Bengali
300,Ishita Dhingra,Male,55,Kolkata,2022-12-04,Premium,Laptop,False,Bengali
301,Navya Vig,Male,35,Bangalore,2024-10-13,Standard,Mobile,True,Telugu
302,Ehsaan Viswanathan,Female,50,Chennai,2022-12-01,Premium,Smart TV,True,Bengali
303,Kaira Dhar,Other,63,Ahmedabad,2024-07-11,Basic,Mobile,True,Hindi
304,Anvi Kannan,Male,40,Delhi,2024-10-31,Premium,Smart TV,False,Bengali
305,Kabir Bal,Male,50,Mumbai,2024-08-29,Standard,Mobile,False,Telugu
306,Anvi Bhandari,Other,40,Jaipur,2023-03-03,Basic,Tablet,False,Bengali
307,Yakshit Korpal,Other,44,Jaipur,2023-10-15,Premium,Laptop,False,Telugu
308,Kashvi Rau,Male,33,Delhi,2023-02-26,Premium,Laptop,True,English
309,Indrajit Borde,Male,61,Delhi,2024-02-26,Basic,Smart TV,True,Bengali
310,Dharmajan Dash,Male,33,Ahmedabad,2024-01-27,Standard,Laptop,True,Hindi
311,Ivana Singhal,Male,17,Ahmedabad,2023-12-23,Standard,Smart TV,True,Tamil
